Nome,Sexo,Idade,Profissao,Salario,EC
Daniel,F,,Cientista de Dados,14991.5,Divorciado
Jessica,M,42.0,Engenheiro de Petróleo,,Divorciado
Sandra,M,38.0,Dentista,,Solteiro
Jose,F,46.0,Gerente,,Solteiro
Francisco,F,52.0,Piloto,,Viúvo
Lucas,F,,Diretor Executivo (CEO),22647.69,Divorciado
João,F,,Engenheiro,18537.07,Solteiro
Paulo,M,28.0,Médico,,Solteiro
Mariana,M,54.0,Dentista,,Viúvo
Rafael,F,31.0,Veterinário,,Casado
Carla,M,31.0,Engenheiro de Petróleo,,Divorciado
Fabiana,F,43.0,Gerente,,Solteiro
Leonardo,M,,Gerente de TI,,Viúvo
Diego,F,,Gerente,10984.0,Divorciado
Felipe,M,,Gerente de TI,13124.96,Solteiro
Marcos,F,60.0,Médico,,Solteiro
Ana Paula,F,,Farmacêutico,4668.58,Casado
Adriana,F,,Gerente,18210.21,Divorciado
Rafael,F,,Médico,11062.52,Casado
Bruno,F,64.0,Engenheiro de Petróleo,,Viúvo
Francisca,M,27.0,Arquiteto,,Divorciado
Francisco,F,52.0,Gerente,,Solteiro
Fernando,M,54.0,Veterinário,,Casado
Beatriz,F,,Gerente de TI,13718.8,Viúvo
Adriana,M,48.0,Gerente,,Divorciado
Juliana,M,37.0,Gerente de TI,,Divorciado
Marcos,F,,Analista de Sistemas,3353.15,Viúvo
Maria,F,46.0,Arquiteto,,Solteiro
Sandra,F,,Veterinário,10897.04,Casado
Claudia,F,,Gerente,18191.34,Viúvo
Carla,M,47.0,Gerente,,Divorciado
Paula,M,40.0,Gerente de TI,,Viúvo
Marcia,M,38.0,Engenheiro de Petróleo,,Solteiro
Francisco,M,30.0,Veterinário,,Divorciado
Carlos,F,33.0,Farmacêutico,,Divorciado
Leandro,M,46.0,Consultor,,Casado
Luiz,M,,Veterinário,17277.9,Casado
Rodrigo,F,,Consultor,12605.26,Viúvo
Daniel,F,53.0,Diretor Executivo (CEO),,Solteiro
Diego,F,54.0,Farmacêutico,,Viúvo
Francisca,M,41.0,Gerente de Vendas,,Casado
Raquel,M,,Diretor (CTO),7113.82,Casado
Joao,M,30.0,Dentista,,Viúvo
Sandra,F,,Gerente de Vendas,17585.83,Solteiro
Anderson,M,,Advogado,5074.14,Casado
Beatriz,M,,Arquiteto,3369.96,Casado
Raquel,F,47.0,Engenheiro,,Casado
Fernanda,M,32.0,Consultor,,Solteiro
Leonardo,M,23.0,Gerente,,Casado
Carlos,M,20.0,Cientista de Dados,,Solteiro
Lucas,M,,Piloto,10319.16,Viúvo
Thiago,M,,Diretor (CTO),15413.87,Viúvo
Claudia,M,52.0,Diretor (CTO),,Divorciado
Bruno,F,,Cientista de Dados,7771.21,Divorciado
Luana,M,47.0,Piloto,,Solteiro
Fabiana,F,,Gerente,20752.55,Viúvo
Luiz,F,33.0,Gerente de Vendas,,Divorciado
Beatriz,M,,Programador,9882.65,Casado
Daniel,F,,Farmacêutico,22925.72,Solteiro
Raquel,F,,Gerente,10168.78,Divorciado
Eliane,M,30.0,Consultor,,Divorciado
Marcos,M,,Gerente,6030.29,Divorciado
Marcia,M,18.0,Médico,,Viúvo
Leandro,F,59.0,Advogado,,Casado
Carla,F,46.0,Veterinário,,Solteiro
Claudia,M,,Veterinário,9753.29,Divorciado
Carlos,F,,Diretor (CTO),11989.38,Divorciado
Raquel,F,44.0,Analista de Sistemas,,Casado
Diego,M,,Gerente de TI,8298.23,Casado
Paulo,F,50.0,Médico,,Casado
Marcelo,F,,Dentista,5902.55,Solteiro
Raquel,F,49.0,Dentista,,Solteiro
Guilherme,M,27.0,Veterinário,,Divorciado
Jose,F,43.0,Analista de Sistemas,,Casado
João,F,,Diretor Executivo (CEO),17594.96,Casado
Adriana,M,,Piloto,11831.11,Casado
Maria,M,40.0,Programador,,Casado
Luana,M,,Diretor Executivo (CEO),3421.98,Solteiro
Amanda,M,18.0,Gerente,,Casado
Gustavo,F,35.0,Diretor Executivo (CEO),,Solteiro
Mariana,F,46.0,Dentista,,Viúvo
Leonardo,M,,Médico,7676.09,Casado
Gabriel,F,,Veterinário,11942.92,Divorciado
Adriana,F,,Arquiteto,19951.92,Solteiro
Leandro,M,,Dentista,18327.6,Casado
Antonio,F,,Engenheiro,21191.38,Divorciado
Marcelo,M,37.0,Engenheiro,,Divorciado
Sandra,M,60.0,Diretor (CTO),,Divorciado
Matheus,F,65.0,Diretor (CTO),,Casado
Mariana,M,,Engenheiro de Petróleo,7082.83,Casado
Larissa,F,,Piloto,,Viúvo
Carla,M,38.0,Veterinário,,Casado
Marcia,M,42.0,Gerente de TI,,Viúvo
Raquel,M,,Programador,16865.16,Viúvo
Matheus,M,,Diretor (CTO),3865.28,Casado
Ricardo,M,,Arquiteto,12683.93,Viúvo
Carlos,M,,Programador,6148.75,Solteiro
Rafael,M,34.0,Cientista de Dados,,Casado
Daniel,F,62.0,Gerente,,Divorciado
Vanessa,M,,Gerente de TI,14223.67,Divorciado
Fernanda,M,46.0,Gerente,,Solteiro
Adriana,F,59.0,Gerente de Vendas,,Solteiro
Guilherme,M,49.0,Arquiteto,,Solteiro
Raquel,F,,Gerente de Vendas,13417.03,Solteiro
Claudia,M,,Gerente,19109.05,Casado
Jose,F,56.0,Dentista,,Viúvo
Eduardo,F,,Diretor Executivo (CEO),7502.32,Divorciado
Thiago,F,56.0,Cientista de Dados,,Solteiro
Adriana,F,,Diretor Executivo (CEO),5835.57,Viúvo
Fernando,F,23.0,Dentista,,Divorciado
Luciana,F,,Gerente de TI,14653.07,Solteiro
Ricardo,F,36.0,Veterinário,,Solteiro
Luana,F,,Médico,,Solteiro
Paula,M,,Veterinário,8126.6,Solteiro
Diego,M,,Cientista de Dados,16811.93,Solteiro
Luciana,M,38.0,Médico,,Casado
Rodrigo,M,,Diretor Executivo (CEO),17806.11,Divorciado
Fatima,F,,Advogado,16371.59,Solteiro
Paula,F,62.0,Gerente de TI,,Casado
Gabriela,F,,Consultor,21629.03,Viúvo
José,F,,Advogado,16012.04,Casado
Jessica,F,,Engenheiro,5648.13,Solteiro
Paulo,F,59.0,Gerente,,Divorciado
João,M,,Analista de Sistemas,20403.44,Solteiro
Jessica,F,63.0,Gerente de Vendas,,Divorciado
Diego,F,,Advogado,6231.86,Viúvo
Francisco,M,53.0,Cientista de Dados,,Casado
Bruna,M,,Arquiteto,6218.38,Solteiro
Vanessa,M,26.0,Farmacêutico,,Divorciado
Luana,F,,Engenheiro,9807.66,Divorciado
Fabiana,F,30.0,Diretor Executivo (CEO),,Casado
Paula,M,21.0,Consultor,,Viúvo
Paula,M,45.0,Dentista,,Casado
Leandro,F,54.0,Engenheiro de Petróleo,,Solteiro
Rafael,M,,Gerente,14302.24,Divorciado
Ana,F,,Farmacêutico,14065.17,Viúvo
Camila,F,,Arquiteto,,Solteiro
Patricia,M,53.0,Diretor (CTO),,Divorciado
Antonio,M,32.0,Engenheiro de Petróleo,,Divorciado
Adriana,M,,Gerente de Vendas,13784.95,Viúvo
Juliana,F,55.0,Consultor,,Casado
Ana Paula,F,20.0,Dentista,,Solteiro
Lucas,M,39.0,Analista de Sistemas,,Divorciado
Eduardo,M,,Arquiteto,14672.92,Solteiro
Bruno,M,29.0,Arquiteto,,Viúvo
Daniel,F,51.0,Cientista de Dados,,Casado
Juliana,M,18.0,Dentista,,Divorciado
Beatriz,M,,Farmacêutico,4632.92,Solteiro
Paulo,M,46.0,Engenheiro de Petróleo,,Divorciado
Felipe,M,52.0,Analista de Sistemas,,Viúvo
Leandro,M,,Dentista,17831.54,Divorciado
Luana,M,,Gerente de TI,19415.2,Casado
Vanessa,F,37.0,Engenheiro,,Solteiro
Beatriz,F,56.0,Piloto,,Divorciado
Jessica,F,33.0,Diretor (CTO),,Divorciado
Paula,F,49.0,Programador,,Casado
Beatriz,M,,Advogado,10464.58,Divorciado
Lucas,F,19.0,Analista de Sistemas,,Solteiro
Pedro,F,,Engenheiro,7773.89,Divorciado
Fernando,M,,Engenheiro,3765.24,Solteiro
Bruno,M,37.0,Cientista de Dados,,Divorciado
Adriana,F,31.0,Gerente,,Viúvo
Paula,M,49.0,Programador,,Divorciado
José,M,,Gerente,16409.53,Casado
Marcelo,M,,Veterinário,8431.4,Divorciado
Gabriela,F,,Gerente de TI,11574.45,Casado
Pedro,M,28.0,Advogado,,Divorciado
Paula,M,,Analista de Sistemas,6877.4,Divorciado
Gabriela,M,41.0,Analista de Sistemas,,Solteiro
Fabiana,F,,Dentista,14850.16,Divorciado
Leandro,F,,Piloto,9897.35,Viúvo
Sandra,M,,Gerente,14829.8,Casado
Marcos,M,64.0,Diretor Executivo (CEO),,Solteiro
Juliana,M,,Médico,8090.62,Solteiro
Luciana,F,24.0,Arquiteto,,Viúvo
Jessica,F,,Dentista,16834.51,Solteiro
Eduardo,M,43.0,Piloto,,Viúvo
Larissa,M,,Analista de Sistemas,16103.47,Solteiro
Francisco,F,40.0,Arquiteto,,Viúvo
Ricardo,M,,Gerente de TI,19450.45,Casado
Patricia,F,,Gerente,11997.67,Viúvo
Paulo,M,18.0,Advogado,,Viúvo
Leandro,F,55.0,Gerente,,Divorciado
Vanessa,F,,Consultor,3591.97,Viúvo
Raquel,M,57.0,Arquiteto,,Viúvo
Matheus,F,43.0,Farmacêutico,,Casado
Adriana,M,,Gerente,11974.79,Solteiro
Luiz,M,,Engenheiro de Petróleo,13403.27,Casado
Amanda,F,27.0,Veterinário,,Casado
Rodrigo,M,35.0,Programador,,Viúvo
Paula,M,,Advogado,10624.58,Solteiro
Ricardo,M,65.0,Dentista,,Solteiro
Carlos,M,,Dentista,22488.72,Viúvo
Gabriel,M,,Engenheiro,4241.65,Solteiro
Aline,F,39.0,Veterinário,,Divorciado
Bruno,F,21.0,Dentista,,Viúvo
Diego,F,,Piloto,4949.42,Viúvo
Claudia,M,47.0,Arquiteto,,Divorciado
José,M,,Engenheiro,8301.81,Solteiro
Beatriz,M,26.0,Gerente,,Casado
Anderson,M,,Veterinário,13389.72,Viúvo
Francisca,M,22.0,Consultor,,Divorciado
Camila,F,,Engenheiro de Petróleo,12071.03,Divorciado
Raquel,M,20.0,Engenheiro,,Solteiro
Eliane,F,59.0,Gerente de Vendas,,Casado
Juliana,F,51.0,Gerente de Vendas,,Solteiro
Carla,M,56.0,Cientista de Dados,,Viúvo
Maria,F,,Engenheiro de Petróleo,,Divorciado
Guilherme,M,40.0,Engenheiro,,Viúvo
Gabriel,M,43.0,Diretor (CTO),,Viúvo
Felipe,F,25.0,Farmacêutico,,Casado
Camila,M,,Engenheiro,9163.57,Solteiro
Marcos,F,28.0,Arquiteto,,Divorciado
Camila,F,30.0,Gerente,,Casado
Gustavo,M,38.0,Analista de Sistemas,,Solteiro
Patricia,F,,Farmacêutico,14826.65,Solteiro
Beatriz,F,,Arquiteto,16490.88,Divorciado
Bruno,M,23.0,Programador,,Solteiro
Juliana,M,,Farmacêutico,12253.64,Casado
Camila,F,,Piloto,14320.74,Viúvo
Diego,M,29.0,Cientista de Dados,,Viúvo
Raquel,M,,Farmacêutico,15050.39,Solteiro
Mariana,M,27.0,Piloto,,Casado
Joao,M,,Engenheiro de Petróleo,4364.92,Viúvo
Matheus,M,,Médico,13105.26,Divorciado
Marcos,M,,Gerente de TI,,Viúvo
Felipe,M,,Consultor,5241.86,Casado
Lucas,M,28.0,Cientista de Dados,,Casado
Joao,F,,Gerente de TI,17828.65,Divorciado
Marcia,M,18.0,Gerente,,Viúvo
Fabiana,F,49.0,Gerente,,Solteiro
Anderson,M,,Analista de Sistemas,19597.93,Solteiro
Daniel,F,60.0,Piloto,,Casado
Marcelo,F,,Arquiteto,7883.38,Solteiro
Claudia,M,62.0,Gerente de Vendas,,Divorciado
Gabriel,F,60.0,Programador,,Solteiro
Luiz,M,,Cientista de Dados,21220.05,Casado
José,M,57.0,Programador,,Casado
Beatriz,F,,Consultor,8603.37,Casado
Luana,M,42.0,Dentista,,Solteiro
Matheus,M,22.0,Advogado,,Casado
Felipe,M,,Engenheiro,8265.98,Casado
Luiz,F,,Engenheiro,20107.03,Viúvo
Claudia,M,30.0,Gerente de TI,,Solteiro
Eduardo,F,,Médico,6205.64,Divorciado
Luciana,F,,Gerente de TI,19331.11,Solteiro
Luana,F,,Diretor Executivo (CEO),20378.88,Solteiro
Paulo,F,,Programador,6715.76,Casado
Gabriel,F,27.0,Engenheiro,,Viúvo
Vanessa,M,,Engenheiro,4050.51,Solteiro
Marcia,M,32.0,Consultor,,Divorciado
Fatima,M,,Advogado,17661.26,Solteiro
Thiago,F,29.0,Cientista de Dados,,Casado
Carlos,M,63.0,Gerente de TI,,Solteiro
Felipe,F,,Gerente,7917.61,Casado
Carlos,F,58.0,Programador,,Viúvo
Paula,F,,Gerente,6302.87,Divorciado
Lucas,F,48.0,Farmacêutico,,Casado
Fernando,M,33.0,Cientista de Dados,,Solteiro
Juliana,M,59.0,Engenheiro,,Divorciado
Francisca,F,,Analista de Sistemas,9826.48,Solteiro
Camila,F,,Gerente de Vendas,11322.1,Viúvo
Fernanda,M,59.0,Médico,,Viúvo
Adriana,F,25.0,Veterinário,,Solteiro
Renata,F,,Diretor (CTO),14836.32,Casado
Sandra,M,,Engenheiro de Petróleo,9523.53,Viúvo
Raquel,M,20.0,Advogado,,Viúvo
Ana,M,64.0,Dentista,,Divorciado
Leandro,M,63.0,Advogado,,Casado
Leandro,M,,Piloto,11766.1,Solteiro
Amanda,F,31.0,Dentista,,Divorciado
Matheus,M,,Consultor,20861.07,Viúvo
Gabriel,F,23.0,Engenheiro de Petróleo,,Solteiro
Luiz,F,,Médico,6583.13,Solteiro
Aline,M,,Programador,9756.75,Casado
Matheus,F,29.0,Analista de Sistemas,,Solteiro
Jessica,F,,Gerente de Vendas,12750.76,Divorciado
Adriana,M,,Diretor (CTO),11412.59,Solteiro
Diego,M,,Piloto,10070.07,Solteiro
Sandra,F,,Consultor,10648.34,Divorciado
Pedro,M,,Programador,17881.58,Viúvo
Joao,F,,Gerente de Vendas,11929.99,Solteiro
Luana,M,58.0,Engenheiro de Petróleo,,Viúvo
Bruno,F,,Gerente,12302.05,Solteiro
Adriana,M,21.0,Consultor,,Divorciado
Juliana,F,60.0,Engenheiro,,Divorciado
Joao,F,,Gerente,15005.09,Divorciado
Eliane,M,,Gerente de TI,20049.6,Casado
Eliane,F,,Diretor (CTO),14960.27,Viúvo
Guilherme,M,,Advogado,8484.61,Casado
Gabriel,F,,Gerente de TI,16997.15,Solteiro
José,M,,Arquiteto,13935.5,Casado
Beatriz,F,31.0,Diretor (CTO),,Solteiro
Leonardo,F,55.0,Consultor,,Casado
Paula,F,,Veterinário,5673.11,Viúvo
Bruna,F,,Gerente,8749.65,Viúvo
Renata,F,,Cientista de Dados,21489.23,Solteiro
Patricia,F,42.0,Dentista,,Divorciado
Fatima,M,49.0,Advogado,,Casado
João,M,,Advogado,5760.41,Viúvo
Ana Paula,F,,Gerente de Vendas,13788.56,Divorciado
Francisco,M,,Gerente de Vendas,8803.29,Casado
Fatima,F,29.0,Engenheiro,,Casado
Aline,M,20.0,Engenheiro de Petróleo,,Solteiro
Adriana,F,59.0,Analista de Sistemas,,Casado
Ricardo,F,51.0,Piloto,,Divorciado
Marcos,M,38.0,Gerente de TI,,Viúvo
Sandra,M,,Farmacêutico,16221.48,Divorciado
Marcos,F,,Diretor (CTO),12625.12,Solteiro
Raquel,M,18.0,Engenheiro de Petróleo,,Casado
Leandro,F,61.0,Médico,,Divorciado
Beatriz,M,,Diretor Executivo (CEO),8992.86,Casado
Antonio,F,,Cientista de Dados,10239.74,Viúvo
Ricardo,F,33.0,Gerente de TI,,Casado
Paulo,M,,Diretor (CTO),16212.56,Divorciado
Fernanda,F,,Advogado,11308.62,Divorciado
Mariana,M,,Veterinário,12509.83,Casado
Mariana,M,53.0,Gerente,,Solteiro
Guilherme,F,,Engenheiro,14040.58,Viúvo
Eduardo,M,51.0,Arquiteto,,Divorciado
Ana Paula,F,,Gerente,6906.49,Solteiro
Ana Paula,M,,Programador,8662.1,Casado
Fabiana,F,,Cientista de Dados,15093.44,Solteiro
Camila,M,64.0,Engenheiro de Petróleo,,Solteiro
Larissa,M,52.0,Gerente,,Viúvo
Rodrigo,M,23.0,Gerente,,Solteiro
Marcia,F,61.0,Gerente de TI,,Casado
Fabiana,F,20.0,Veterinário,,Viúvo
Carla,F,,Advogado,21588.17,Viúvo
Fabiana,M,,Programador,18084.83,Casado
Ana Paula,F,19.0,Engenheiro,,Viúvo
Ricardo,F,49.0,Dentista,,Viúvo
Carlos,M,,Analista de Sistemas,19910.15,Viúvo
Jose,M,,Programador,18521.66,Solteiro
Fabiana,M,33.0,Veterinário,,Divorciado
Leandro,F,,Engenheiro,5172.22,Viúvo
Amanda,M,63.0,Médico,,Solteiro
José,M,,Gerente de Vendas,18301.3,Viúvo
Rafael,F,,Dentista,9316.75,Solteiro
Paula,M,,Gerente,18352.36,Viúvo
Raquel,M,,Engenheiro,10746.98,Solteiro
Carlos,F,62.0,Consultor,,Viúvo
Larissa,F,,Advogado,19330.49,Divorciado
Luana,M,41.0,Piloto,,Solteiro
Luciana,F,24.0,Advogado,,Casado
Gabriel,F,61.0,Consultor,,Solteiro
Eduardo,F,57.0,Farmacêutico,,Viúvo
Rodrigo,M,37.0,Engenheiro de Petróleo,,Divorciado
Renata,F,44.0,Gerente de TI,,Casado
Camila,M,,Gerente,21937.33,Viúvo
Sandra,F,22.0,Analista de Sistemas,,Solteiro
Diego,F,50.0,Advogado,,Divorciado
Juliana,F,21.0,Veterinário,,Divorciado
Francisca,F,46.0,Diretor Executivo (CEO),,Divorciado
Rodrigo,M,,Gerente,15185.13,Casado
Renata,F,,Gerente de TI,4765.21,Solteiro
Ricardo,F,59.0,Diretor (CTO),,Divorciado
Marcos,F,32.0,Dentista,,Divorciado
Patricia,M,,Arquiteto,22102.58,Solteiro
Amanda,M,32.0,Diretor Executivo (CEO),,Divorciado
Anderson,F,,Gerente,17613.94,Viúvo
Francisca,F,,Programador,9464.5,Solteiro
Anderson,F,35.0,Gerente de Vendas,,Casado
Amanda,M,,Farmacêutico,4149.0,Divorciado
Ana,F,46.0,Gerente de TI,,Viúvo
Marcia,F,33.0,Advogado,,Casado
Carlos,M,,Engenheiro,7139.67,Casado
Rafael,M,,Diretor Executivo (CEO),13724.27,Divorciado
Fernando,M,,Gerente,3857.82,Casado
Marcia,F,44.0,Veterinário,,Viúvo
Carla,F,19.0,Gerente,,Viúvo
Ricardo,M,40.0,Engenheiro,,Casado
Carla,M,,Advogado,15391.31,Divorciado
Joao,F,,Gerente de TI,20443.72,Divorciado
Paula,F,29.0,Veterinário,,Viúvo
Paulo,M,55.0,Advogado,,Casado
Ana Paula,F,18.0,Gerente de TI,,Divorciado
Ana Paula,F,,Médico,22247.43,Casado
Eduardo,F,,Diretor Executivo (CEO),16499.88,Solteiro
Luciana,F,26.0,Gerente de TI,,Viúvo
Larissa,F,,Arquiteto,19667.7,Viúvo
Luiz,F,40.0,Arquiteto,,Divorciado
Rafael,F,,Veterinário,12648.05,Solteiro
Camila,F,,Diretor Executivo (CEO),12979.29,Solteiro
Paula,M,,Diretor (CTO),3717.56,Viúvo
Diego,M,,Arquiteto,22340.42,Divorciado
Gabriel,F,,Arquiteto,20278.05,Viúvo
Sandra,M,,Cientista de Dados,14171.8,Casado
Luiz,F,,Médico,20464.36,Divorciado
Rodrigo,M,,Diretor (CTO),21995.05,Casado
Eliane,F,,Gerente de TI,20102.43,Casado
Sandra,F,,Gerente de Vendas,7268.65,Casado
Camila,M,34.0,Médico,,Solteiro
Fernanda,M,,Cientista de Dados,4460.09,Solteiro
Luiz,F,,Gerente de TI,21775.84,Solteiro
Rafael,F,,Programador,8333.23,Solteiro
Ana Paula,M,,Engenheiro de Petróleo,3085.71,Viúvo
Mariana,M,27.0,Advogado,,Divorciado
Larissa,M,54.0,Diretor Executivo (CEO),,Casado
Adriana,M,31.0,Piloto,,Divorciado
Leandro,F,,Veterinário,10458.87,Casado
Luiz,M,,Diretor (CTO),15978.98,Divorciado
Sandra,F,,Engenheiro,20566.36,Casado
Francisco,M,52.0,Farmacêutico,,Viúvo
Gabriela,F,21.0,Programador,,Viúvo
Felipe,M,32.0,Engenheiro,,Solteiro
José,M,,Engenheiro de Petróleo,16105.57,Divorciado
Juliana,F,38.0,Gerente de TI,,Solteiro
Francisco,M,,Advogado,8408.66,Viúvo
Rafael,F,36.0,Arquiteto,,Solteiro
Carlos,M,57.0,Analista de Sistemas,,Divorciado
Ricardo,M,,Diretor (CTO),14794.7,Solteiro
Joao,M,,Diretor Executivo (CEO),9031.46,Casado
João,M,63.0,Diretor Executivo (CEO),,Viúvo
Thiago,F,34.0,Diretor Executivo (CEO),,Divorciado
Marcos,F,65.0,Diretor Executivo (CEO),,Casado
Claudia,M,47.0,Arquiteto,,Viúvo
Rodrigo,M,,Diretor Executivo (CEO),4029.33,Viúvo
José,M,52.0,Farmacêutico,,Divorciado
Rafael,M,65.0,Farmacêutico,,Viúvo
José,F,,Advogado,13043.98,Viúvo
Sandra,M,53.0,Arquiteto,,Viúvo
Antonio,F,40.0,Dentista,,Viúvo
Anderson,F,,Analista de Sistemas,6868.38,Viúvo
Raquel,F,51.0,Dentista,,Viúvo
Marcos,F,,Piloto,15777.33,Viúvo
Ricardo,F,,Diretor (CTO),19428.72,Solteiro
Adriana,M,,Dentista,7336.1,Viúvo
Rafael,M,,Gerente,10399.72,Solteiro
Daniel,F,58.0,Piloto,,Divorciado
Antonio,M,,Veterinário,9057.52,Solteiro
Vanessa,M,27.0,Diretor (CTO),,Divorciado
Leonardo,M,35.0,Dentista,,Viúvo
José,M,,Cientista de Dados,13741.73,Casado
Diego,F,,Gerente de TI,17799.05,Divorciado
Adriana,F,62.0,Cientista de Dados,,Solteiro
Luana,F,,Dentista,6555.81,Divorciado
Fernanda,F,,Gerente de TI,10051.08,Viúvo
Paulo,M,,Diretor Executivo (CEO),16301.53,Solteiro
Joao,M,59.0,Dentista,,Casado
Diego,M,25.0,Consultor,,Casado
Luciana,M,58.0,Gerente de TI,,Solteiro
Bruno,F,,Engenheiro,21341.98,Casado
Ana,F,23.0,Engenheiro,,Viúvo
Francisco,M,,Engenheiro de Petróleo,10896.98,Casado
Vanessa,F,,Gerente,21922.39,Viúvo
Rodrigo,M,,Veterinário,18661.12,Casado
Francisco,F,48.0,Gerente de Vendas,,Divorciado
Daniel,F,,Diretor Executivo (CEO),12201.32,Solteiro
Carla,F,,Advogado,18412.96,Divorciado
Eduardo,M,,Veterinário,15093.28,Solteiro
Fernanda,F,23.0,Analista de Sistemas,,Solteiro
Renata,M,56.0,Programador,,Casado
Amanda,F,,Gerente de Vendas,22315.15,Solteiro
Fabiana,M,22.0,Gerente,,Viúvo
Mariana,F,,Engenheiro,12672.07,Casado
Ricardo,M,45.0,Gerente,,Casado
Eduardo,M,,Consultor,12440.49,Casado
Ricardo,F,25.0,Gerente de Vendas,,Solteiro
Raquel,M,65.0,Engenheiro de Petróleo,,Solteiro
João,F,,Consultor,10990.83,Solteiro
Fernanda,M,,Arquiteto,17248.9,Divorciado
Raquel,F,54.0,Dentista,,Casado
Sandra,F,,Médico,17409.41,Casado
Marcia,F,,Farmacêutico,3351.08,Viúvo
Gustavo,F,,Farmacêutico,9707.41,Divorciado
Gustavo,M,,Cientista de Dados,4409.26,Casado
Matheus,M,,Engenheiro,14117.87,Divorciado
Luana,M,22.0,Analista de Sistemas,,Divorciado
Claudia,F,19.0,Arquiteto,,Casado
Ana,M,33.0,Diretor (CTO),,Divorciado
Renata,M,,Dentista,14809.76,Viúvo
Francisco,F,,Engenheiro,15950.62,Divorciado
Francisco,M,,Diretor (CTO),18400.71,Divorciado
Raquel,M,,Engenheiro,12651.25,Solteiro
Carlos,M,26.0,Piloto,,Casado
Francisco,F,,Gerente de Vendas,16316.29,Solteiro
Eliane,F,23.0,Dentista,,Casado
Eduardo,F,,Advogado,19692.25,Viúvo
Luciana,F,61.0,Gerente,,Casado
Renata,M,,Advogado,15634.43,Casado
Luiz,F,,Médico,21109.21,Viúvo
Fabiana,F,51.0,Engenheiro,,Solteiro
Francisca,M,36.0,Dentista,,Divorciado
Luciana,M,20.0,Médico,,Viúvo
Rafael,M,,Cientista de Dados,16582.24,Viúvo
Claudia,M,,Piloto,7099.31,Solteiro
Luiz,M,57.0,Gerente,,Viúvo
Matheus,F,,Engenheiro de Petróleo,12060.27,Viúvo
Guilherme,F,,Médico,11043.57,Divorciado
Ana,M,,Cientista de Dados,8156.43,Casado
Vanessa,F,62.0,Analista de Sistemas,,Solteiro
Carlos,F,61.0,Cientista de Dados,,Viúvo
Eliane,F,60.0,Advogado,,Viúvo
Eliane,F,18.0,Analista de Sistemas,,Viúvo
Francisco,F,21.0,Piloto,,Casado
Rodrigo,F,,Diretor (CTO),4564.59,Casado
Maria,F,57.0,Dentista,,Casado
